0.39338 -13.7773 -1.22303 1.83659
0.39338 -13.7773 1.73839 1.15764
2.02864 -19.9813 -nan -nan
2.02864 -19.9813 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-0.581938 6.03739 0.900827 2.0919
-0.581938 6.03739 -1.72565 0.74311
-nan -nan -nan -nan
-nan -nan -nan -nan
0.147777 -5.61437 -1.87935 0.779637
0.147777 -5.61437 0.685437 1.65228
-nan -nan -nan -nan
-nan -nan -nan -nan
-5.2537 -9.35718 0.311724 1.73178
-5.2537 -9.35718 -1.62687 0.292839
-nan -nan -nan -nan
-nan -nan -nan -nan
2.38479 1.1317 2.05015 0.919179
2.38479 1.1317 -0.554414 1.23657
-nan -nan -nan -nan
-nan -nan -nan -nan
-0.822819 22.6318 -0.124499 2.32267
-0.822819 22.6318 1.2503 0.0670187
-nan -nan -nan -nan
-nan -nan -nan -nan
-5.17032 -0.862286 -0.0348093 1.94846
-5.17032 -0.862286 0.987219 0.0176366
-nan -nan -nan -nan
-nan -nan -nan -nan
-2.85792 14.4451 -1.30677 1.42644
-2.85792 14.4451 1.06598 0.97655
-nan -nan -nan -nan
-nan -nan -nan -nan
3.68939 9.60709 -0.75539 1.59076
3.68939 9.60709 1.16165 0.551621
-nan -nan -nan -nan
-nan -nan -nan -nan
6.76407 -7.34228 -nan -nan
6.76407 -7.34228 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-4.00435 -23.8148 -nan -nan
-4.00435 -23.8148 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-5.57394 7.87546 -nan -nan
-5.57394 7.87546 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
0.608265 102.536 -0.662874 2.07621
0.608265 102.536 1.87092 0.597332
-nan -nan -nan -nan
-nan -nan -nan -nan
-6.36011 102.142 -nan -nan
-6.36011 102.142 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-0.558377 116.466 1.74628 0.696987
-0.558377 116.466 -0.637734 1.59783
-nan -nan -nan -nan
-nan -nan -nan -nan
-0.641955 93.8204 -1.33089 1.76711
-0.641955 93.8204 1.54664 1.16485
-nan -nan -nan -nan
-nan -nan -nan -nan
-2.62604 86.0957 -2.06457 0.260804
-2.62604 86.0957 0.225325 1.78372
-nan -nan -nan -nan
-nan -nan -nan -nan
-2.30892 77.3921 1.3051 1.63968
-2.30892 77.3921 -1.15445 0.918887
-nan -nan -nan -nan
-nan -nan -nan -nan
-4.92489 65.3652 -nan -nan
-4.92489 65.3652 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-6.48163 114.984 -nan -nan
-6.48163 114.984 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-0.232425 124.128 -1.08865 1.71883
-0.232425 124.128 0.925326 0.586071
-nan -nan -nan -nan
-nan -nan -nan -nan
1.02521 109.272 2.4246 0.565337
1.02521 109.272 -0.273525 1.17309
-nan -nan -nan -nan
-nan -nan -nan -nan
-3.86493 108.184 -0.257414 1.90398
-3.86493 108.184 0 0
-nan -nan -nan -nan
-nan -nan -nan -nan
1.00546 68.1382 -nan -nan
1.00546 68.1382 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-3.29269 130.204 -nan -nan
-3.29269 130.204 -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
4.23646 96.5218 -0.846514 0.877578
4.23646 96.5218 0.47982 0.462835
-nan -nan -nan -nan
-nan -nan -nan -nan
4.70152 88.304 -nan -nan
4.70152 88.304 -nan -nan
